date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,outcome,days_ago,home_team_norm,away_team_norm
1938-10-10,Kenya,Uganda,1,3,Friendly,Nairobi,Kenya,False,A,2,32030,Kenya,Uganda
1938-10-12,Uruguay,Argentina,2,3,Friendly,Montevideo,Uruguay,False,A,2,32028,Uruguay,Argentina
1938-10-16,Mexico,Basque Country,8,4,Friendly,Mexico City,Mexico,False,H,0,32024,Mexico,Basque Country
1938-10-22,Wales,England,4,2,British Home Championship,Cardiff,Wales,False,H,0,32018,Wales,England
1938-10-23,Denmark,Netherlands,2,2,Friendly,Copenhagen,Denmark,False,D,1,32017,Denmark,Netherlands
1938-10-23,Poland,Norway,2,2,Friendly,Warsaw,Poland,False,D,1,32017,Poland,Norway
1938-10-23,Mexico,Basque Country,2,6,Friendly,Mexico City,Mexico,False,A,2,32017,Mexico,Basque Country
1938-10-30,Mexico,Basque Country,1,3,Friendly,Mexico City,Mexico,False,A,2,32010,Mexico,Basque Country
1938-11-06,Switzerland,Portugal,1,0,Friendly,Lausanne,Switzerland,False,H,0,32003,Switzerland,Portugal
1938-11-09,England,Norway,4,0,Friendly,Newcastle,England,False,H,0,32000,England,Norway
1938-11-09,Scotland,Wales,3,2,British Home Championship,Edinburgh,Scotland,False,H,0,32000,Scotland,Wales
1938-11-13,Republic of Ireland,Poland,3,2,Friendly,Dublin,Éire,False,H,0,31996,Republic of Ireland,Poland
1938-11-16,England,Northern Ireland,7,0,British Home Championship,Manchester,England,False,H,0,31993,England,Northern Ireland
1938-11-20,Italy,Switzerland,2,0,Friendly,Bologna,Italy,False,H,0,31989,Italy,Switzerland
1938-12-04,Czechoslovakia,Romania,6,2,Friendly,Prague,Czechoslovakia,False,H,0,31975,Czechoslovakia,Romania
1938-12-04,Italy,France,1,0,Friendly,Naples,Italy,False,H,0,31975,Italy,France
1938-12-07,Scotland,Hungary,3,1,Friendly,Glasgow,Scotland,False,H,0,31972,Scotland,Hungary
1939-01-12,Dominica,Martinique,3,1,Friendly,Roseau,Dominica,False,H,0,31936,Dominica,Martinique
1939-01-15,Brazil,Argentina,1,5,Copa Roca,Rio de Janeiro,Brazil,False,A,2,31933,Brazil,Argentina
1939-01-15,Chile,Paraguay,1,5,Copa América,Lima,Peru,True,A,2,31933,Chile,Paraguay
1939-01-15,Peru,Ecuador,5,2,Copa América,Lima,Peru,False,H,0,31933,Peru,Ecuador
1939-01-22,France,Poland,4,0,Friendly,Paris,France,False,H,0,31926,France,Poland
1939-01-22,Peru,Chile,3,1,Copa América,Lima,Peru,False,H,0,31926,Peru,Chile
1939-01-22,Brazil,Argentina,3,2,Copa Roca,Rio de Janeiro,Brazil,False,H,0,31926,Brazil,Argentina
1939-01-22,Ecuador,Uruguay,0,6,Copa América,Lima,Peru,True,A,2,31926,Ecuador,Uruguay
1939-01-29,Belgium,Germany,1,4,Friendly,Brussels,Belgium,False,A,2,31919,Belgium,Germany
1939-01-29,Chile,Uruguay,2,3,Copa América,Lima,Peru,True,A,2,31919,Chile,Uruguay
1939-01-29,Peru,Paraguay,3,0,Copa América,Lima,Peru,False,H,0,31919,Peru,Paraguay
1939-02-05,Chile,Ecuador,4,1,Copa América,Lima,Peru,True,H,0,31912,Chile,Ecuador
1939-02-05,Paraguay,Uruguay,1,3,Copa América,Lima,Peru,True,A,2,31912,Paraguay,Uruguay
1939-02-12,Ecuador,Paraguay,1,3,Copa América,Lima,Peru,True,A,2,31905,Ecuador,Paraguay
1939-02-12,Peru,Uruguay,2,1,Copa América,Lima,Peru,False,H,0,31905,Peru,Uruguay
1939-02-12,Portugal,Switzerland,2,4,Friendly,Lisbon,Portugal,False,A,2,31905,Portugal,Switzerland
1939-02-26,Germany,Yugoslavia,3,2,Friendly,Berlin,Germany,False,H,0,31891,Germany,Yugoslavia
1939-02-26,Chile,Paraguay,4,1,Friendly,Santiago,Chile,False,H,0,31891,Chile,Paraguay
1939-02-26,Netherlands,Hungary,3,2,Friendly,Rotterdam,Netherlands,False,H,0,31891,Netherlands,Hungary
1939-03-15,Wales,Northern Ireland,3,1,British Home Championship,Wrexham,Wales,False,H,0,31874,Wales,Northern Ireland
1939-03-15,Haiti,Panama,1,0,Friendly,Port-au-Prince,Haiti,False,H,0,31874,Haiti,Panama
1939-03-16,France,Hungary,2,2,Friendly,Paris,France,False,D,1,31873,France,Hungary
